ts,soc_tctl_C,igpu_edge_C,igpu_power_W
1781712385,41.1,39.0,21.00
1781712390,41.5,39.0,22.08
1781712395,41.6,39.0,23.09
1781712400,41.8,39.0,21.02
1781712406,41.9,40.0,20.09
1781712411,42.2,40.0,22.03
1781712416,43.9,40.0,24.03
1781712421,43.0,41.0,20.09
1781712426,43.9,42.0,21.05
1781712431,43.6,42.0,21.01
1781712436,43.8,41.0,20.03
1781712441,43.6,41.0,20.10
1781712446,43.4,40.0,22.07
1781712451,43.2,40.0,23.00
1781712456,43.1,40.0,22.08
1781712461,43.1,40.0,23.04
1781712466,42.8,40.0,21.09
1781712471,42.8,40.0,21.05
1781712476,42.5,40.0,23.01
1781712481,42.5,40.0,22.04
1781712486,42.4,39.0,22.04
1781712491,42.4,40.0,22.09
1781712496,42.1,39.0,21.10
1781712501,42.2,40.0,22.00
1781712506,42.4,39.0,23.02
1781712511,42.0,39.0,22.03
1781712516,42.1,40.0,22.05
1781712521,41.8,40.0,22.09
1781712526,41.9,40.0,21.07
1781712531,42.6,40.0,22.05
1781712536,42.6,40.0,20.09
1781712541,43.1,40.0,20.02
1781712546,43.1,41.0,20.05
1781712551,43.4,41.0,20.02
1781712556,43.6,41.0,20.06
1781712561,43.5,40.0,20.02
1781712566,43.4,40.0,19.07
1781712571,44.2,41.0,23.07
1781712576,43.2,40.0,20.10
1781712577,43.1,40.0,22.01
1781712581,42.9,40.0,22.04
1781712582,42.9,40.0,22.04
1781712586,43.1,40.0,23.08
1781712587,43.6,40.0,25.02
1781712591,42.8,40.0,21.08
1781712592,42.8,40.0,21.09
1781712596,42.5,40.0,21.08
1781712597,42.4,40.0,22.02
1781712601,42.6,40.0,21.05
1781712602,42.5,40.0,21.06
1781712606,43.1,40.0,24.04
1781712607,43.2,40.0,24.01
1781712611,42.2,39.0,21.01
1781712612,42.1,40.0,20.08
1781712616,42.5,39.0,20.09
1781712617,42.2,39.0,20.08
1781712621,42.1,39.0,22.04
1781712622,42.8,39.0,23.02
1781712626,41.9,39.0,20.04
1781712627,41.9,39.0,20.03
1781712631,42.1,39.0,21.03
1781712632,42.0,39.0,20.09
1781712636,41.6,39.0,20.07
1781712637,41.8,39.0,21.00
1781712641,41.8,39.0,20.05
1781712642,41.6,38.0,20.04
1781712646,41.4,39.0,21.03
1781712647,41.4,38.0,21.01
1781712651,41.5,38.0,21.10
1781712652,42.1,39.0,22.08
1781712656,41.4,39.0,20.05
1781712657,41.4,39.0,20.07
1781712661,42.1,39.0,23.08
1781712662,41.9,39.0,21.10
1781712666,41.1,38.0,20.08
1781712667,41.1,39.0,20.06
1781712671,41.0,39.0,20.06
1781712672,41.0,38.0,20.04
1781712676,41.4,38.0,20.08
1781712677,41.2,39.0,20.02
1781712681,41.0,38.0,19.09
1781712682,40.9,38.0,20.00
1781712686,41.5,38.0,20.07
1781712687,41.5,39.0,21.06
1781712691,41.2,38.0,20.05
1781712692,41.1,39.0,20.03
1781712696,41.2,38.0,20.07
1781712697,41.1,39.0,20.07
1781712701,41.1,40.0,21.04
1781712702,41.8,38.0,22.09
1781712706,41.4,39.0,20.04
1781712707,41.4,39.0,20.05
1781712711,42.2,39.0,23.04
1781712712,42.0,39.0,21.02
1781712716,42.0,39.0,20.06
1781712717,42.1,40.0,20.05
1781712721,42.6,40.0,22.02
1781712722,42.9,40.0,22.02
1781712726,42.8,40.0,20.05
1781712727,42.8,40.0,20.06
1781712731,43.6,41.0,22.05
1781712732,43.8,41.0,22.01
1781712736,43.4,41.0,20.01
